Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
ENPP3,"Metal ion binding
Hydrolase activity
Nucleic acid binding
Calcium ion binding
Zinc ion binding
Phosphodiesterase i activity
Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
Bis(5'-adenosyl)-pentaphosphatase activity
Gtp diphosphatase activity
Utp diphosphatase activity
Nucleoside triphosphate diphosphatase activity
Atp diphosphatase activity
Bis(5'-adenosyl)-triphosphatase activity","Atp metabolic process
Negative regulation of inflammatory response
Basophil activation involved in immune response
Pyrimidine nucleotide metabolic process
Phosphate-containing compound metabolic process
Nucleoside triphosphate catabolic process
Negative regulation of mast cell activation involved in immune response
Negative regulation of mast cell proliferation
Phosphate ion homeostasis","Extracellular region
Plasma membrane
Apical plasma membrane
Extracellular exosome
Perinuclear region of cytoplasm
External side of plasma membrane
Membrane",ENSG00000154269,ectonucleotide pyrophosphatase/phosphodiesterase 3,protein_coding
ENPP5,"Metal ion binding
Hydrolase activity
Zinc ion binding
Nad+ diphosphatase activity",Cell communication,"Extracellular region
Plasma membrane
Membrane",ENSG00000112796,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,protein_coding
ENPP7P10,,,,ENSG00000249767,ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 10,unprocessed_pseudogene
EP300,"Protein binding
Zinc ion binding
Histone acetyltransferase activity
Transcription coregulator activity
Transcription coactivator activity
Metal ion binding
Dna binding
Acyltransferase activity
Protein-containing complex binding
Rna polymerase ii-specific dna-binding transcription factor binding
Chromatin binding
Chromatin dna binding
Damaged dna binding
Transcription coregulator binding
Tau protein binding
Histone h4 acetyltransferase activity
Beta-catenin binding
Dna-binding transcription factor binding
Nuclear receptor binding
Nuclear androgen receptor binding
Transcription coactivator binding
Histone h3 acetyltransferase activity
Acetylation-dependent protein binding
Acetyltransferase activity
Stat family protein binding
P53 binding
Lysine n-acetyltransferase activity, acting on acetyl phosphate as donor
Peptide n-acetyltransferase activity
Histone h3k18 acetyltransferase activity
Histone h2b acetyltransferase activity
Histone h3k27 acetyltransferase activity
Nf-kappab binding
Peptide-lysine-n-acetyltransferase activity
Protein propionyltransferase activity
Pre-mrna intronic binding
Peptide 2-hydroxyisobutyryltransferase activity
Peptide lactyltransferase activity
Histone lactyltransferase activity
Peptide crotonyltransferase activity
Peptide butyryltransferase activity
Histone crotonyltransferase activity
Histone butyryltransferase activity
Histone h3k122 acetyltransferase activity
Transferase activity","Regulation of dna-templated transcription
Apoptotic process
Positive regulation of dna-templated transcription
Rhythmic process
Positive regulation of transcription by rna polymerase ii
Negative regulation of transcription by rna polymerase ii
Protein stabilization
Negative regulation of autophagy
Fat cell differentiation
Protein destabilization
Negative regulation of gluconeogenesis
Response to hypoxia
Positive regulation of protein import into nucleus
Regulation of signal transduction by p53 class mediator
Nervous system development
Positive regulation of transforming growth factor beta receptor signaling pathway
Transcription initiation-coupled chromatin remodeling
Positive regulation of dna-binding transcription factor activity
Circadian rhythm
Response to estrogen
Stimulatory c-type lectin receptor signaling pathway
Cellular response to uv
Regulation of glycolytic process
Positive regulation of torc1 signaling
Intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator
Protein acetylation
Positive regulation of t-helper 17 cell lineage commitment
Regulation of cellular response to heat
Cellular response to nutrient levels
Positive regulation of receptor signaling pathway via jak-stat
Internal peptidyl-lysine acetylation
Negative regulation of protein-containing complex assembly
Positive regulation of neuron projection development
Regulation of autophagy
Positive regulation by host of viral transcription
Canonical nf-kappab signal transduction
Regulation of mitochondrion organization
Cellular response to l-leucine
Somitogenesis
Thigmotaxis
Behavioral defense response
Chromatin remodeling
Regulation of transcription by rna polymerase ii
Transcription by rna polymerase ii
Internal protein amino acid acetylation
Heart development
Skeletal muscle tissue development
Learning or memory
Animal organ morphogenesis
Positive regulation of gene expression
N-terminal peptidyl-lysine acetylation
Peptidyl-lysine acetylation
B cell differentiation
Platelet formation
Lung development
Multicellular organism growth
Megakaryocyte development
Swimming
Face morphogenesis
Regulation of androgen receptor signaling pathway
Peptidyl-lysine propionylation
Regulation of tubulin deacetylation
Peptidyl-lysine crotonylation
Peptidyl-lysine butyrylation","Nucleus
Histone acetyltransferase complex
Cytoplasm
Nucleoplasm
Cytosol
Chromosome
Chromatin
Transcription regulator complex
Protein-dna complex
Protein-containing complex",ENSG00000100393,E1A binding protein p300,protein_coding
EP300-AS1,,,,ENSG00000231993,EP300 antisense RNA 1,lncRNA
EP400,"Atp binding
Atp-dependent chromatin remodeler activity
Hydrolase activity
Protein binding
Dna binding
Helicase activity
Chromatin binding
Protein antigen binding","Chromatin organization
Chromatin remodeling
Positive regulation of dna-templated transcription
Regulation of apoptotic process
Dna repair
Regulation of cell cycle
Positive regulation of double-strand break repair via homologous recombination
Regulation of double-strand break repair","Nucleus
Nuclear speck
Intracellular organelle
Nucleoplasm
Nua4 histone acetyltransferase complex
Nucleosome
Swr1 complex",ENSG00000183495,E1A binding protein p400,protein_coding
EPB41L4B,"Cytoskeletal protein binding
Structural constituent of cytoskeleton","Positive regulation of gene expression
Actomyosin structure organization
Positive regulation of cell adhesion
Wound healing
Positive regulation of keratinocyte migration","Cytoskeleton
Cytoplasm
Cytosol
Plasma membrane
Bicellular tight junction
Apical part of cell",ENSG00000095203,erythrocyte membrane protein band 4.1 like 4B,protein_coding
EPC2,,"Regulation of transcription by rna polymerase ii
Chromatin organization
Dna repair
Positive regulation of dna-templated transcription
Regulation of apoptotic process
Regulation of cell cycle
Positive regulation of double-strand break repair via homologous recombination
Regulation of double-strand break repair","Nua4 histone acetyltransferase complex
Nucleus
Nucleosome
Piccolo histone acetyltransferase complex",ENSG00000135999,enhancer of polycomb homolog 2,protein_coding
EPCAM,"Protein binding
Protein-containing complex binding
Cadherin binding involved in cell-cell adhesion","Cell-cell adhesion
Positive regulation of transcription by rna polymerase ii
Positive regulation of cell population proliferation
Stem cell differentiation
Positive regulation of stem cell proliferation
Ureteric bud development
Signal transduction involved in regulation of gene expression
Negative regulation of cell-cell adhesion mediated by cadherin","Membrane
Plasma membrane
Lateral plasma membrane
Bicellular tight junction
Extracellular exosome
Apical plasma membrane
Cell surface
Basolateral plasma membrane",ENSG00000119888,epithelial cell adhesion molecule,protein_coding
EPHB1,"Atp binding
Protein binding
Protein kinase activity
Ephrin receptor activity
Protein tyrosine kinase activity
Transmembrane receptor protein tyrosine kinase activity
Transmembrane-ephrin receptor activity
Axon guidance receptor activity
Protein-containing complex binding","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Cell adhesion
Nervous system development
Angiogenesis
Dendritic spine morphogenesis
Protein autophosphorylation
Cell chemotaxis
Axon guidance
Establishment of cell polarity
Ephrin receptor signaling pathway
Neurogenesis
Positive regulation of synapse assembly
Cell-substrate adhesion
Regulation of jnk cascade
Dendritic spine development
Neural precursor cell proliferation
Central nervous system projection neuron axonogenesis
Retinal ganglion cell axon guidance
Regulation of erk1 and erk2 cascade
Immunological synapse formation
Skeletal muscle satellite cell activation
Cranial nerve development
Optic nerve morphogenesis
Hindbrain tangential cell migration
Camera-type eye morphogenesis
Modulation of chemical synaptic transmission
Detection of temperature stimulus involved in sensory perception of pain
Negative regulation of skeletal muscle satellite cell proliferation
Negative regulation of satellite cell differentiation","Membrane
Plasma membrane
Cell projection
Endoplasmic reticulum
Cytosol
Endosome
Early endosome membrane
Extracellular region
Dendrite
Extracellular exosome
Cytoplasm
Axon
Filopodium tip
Membrane raft
Glutamatergic synapse",ENSG00000154928,EPH receptor B1,protein_coding
EPHB2,"Atp binding
Protein binding
Protein kinase activity
Ephrin receptor activity
Protein tyrosine kinase activity
Transmembrane receptor protein tyrosine kinase activity
Amyloid-beta binding
Protein-containing complex binding
Transmembrane-ephrin receptor activity
Signaling receptor binding
Axon guidance receptor activity
Signaling receptor activity
Identical protein binding","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Nervous system development
Angiogenesis
Positive regulation of gene expression
Positive regulation of tumor necrosis factor production
Positive regulation of protein localization to plasma membrane
Dendritic spine morphogenesis
Roof of mouth development
Axon guidance
Commissural neuron axon guidance
Positive regulation of cell migration
Ephrin receptor signaling pathway
Positive regulation of synapse assembly
Inner ear morphogenesis
Learning
Dendritic spine development
Learning or memory
Phosphorylation
Regulation of autophagosome assembly
Peptidyl-tyrosine phosphorylation
Regulation of blood coagulation
Positive regulation of long-term synaptic potentiation
Positive regulation of nmda glutamate receptor activity
Negative regulation of erk1 and erk2 cascade
B cell activation
Positive regulation of immunoglobulin production
Negative regulation of protein kinase activity
Cell morphogenesis
Urogenital system development
Negative regulation of protein phosphorylation
Negative regulation of cell adhesion
Axonogenesis
Axonal fasciculation
Animal organ morphogenesis
Optic nerve morphogenesis
Hindbrain tangential cell migration
Central nervous system projection neuron axonogenesis
Corpus callosum development
Positive regulation of b cell proliferation
Retinal ganglion cell axon guidance
Positive regulation of synaptic plasticity
Regulation of receptor signaling pathway via jak-stat
Negative regulation of ras protein signal transduction
Regulation of neuronal synaptic plasticity
Positive regulation of long-term neuronal synaptic plasticity
Camera-type eye morphogenesis
Regulation of axonogenesis
Negative regulation of axonogenesis
Regulation of body fluid levels
Regulation of filopodium assembly
Regulation of synapse assembly
Positive regulation of dendritic spine morphogenesis
Cellular response to lipopolysaccharide
Postsynaptic membrane assembly
Neuron projection retraction
Vesicle-mediated intercellular transport
Tight junction assembly
Negative regulation of cytokine production involved in inflammatory response
Cellular response to amyloid-beta
Negative regulation of nmda glutamate receptor activity
Positive regulation of protein localization to cell surface
Regulation of t-helper 17 type immune response
Regulation of behavioral fear response","Membrane
Plasma membrane
Cell projection
Nucleoplasm
Axon
Extracellular region
Dendrite
Cytosol
Postsynapse
Cell surface
Presynaptic membrane
Neuronal cell body
Dendritic spine
Postsynaptic membrane
Hippocampal mossy fiber to ca3 synapse
Glutamatergic synapse",ENSG00000133216,EPH receptor B2,protein_coding
EPHB4,"Atp binding
Protein binding
Protein kinase activity
Ephrin receptor activity
Protein tyrosine kinase activity
Transmembrane receptor protein tyrosine kinase activity","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Ephrin receptor signaling pathway
Cell adhesion
Angiogenesis
Protein autophosphorylation
Heart morphogenesis
Cell migration involved in sprouting angiogenesis","Membrane
Plasma membrane
Extracellular region
Cytosol
Extracellular exosome
Receptor complex",ENSG00000196411,EPH receptor B4,protein_coding
EPO,"Hormone activity
Erythropoietin receptor binding
Protein binding
Cytokine activity
Protein kinase activator activity","Positive regulation of cell population proliferation
Erythrocyte differentiation
Erythrocyte maturation
Response to hypoxia
Regulation of transcription by rna polymerase ii
Apoptotic process
Acute-phase response
Embryo implantation
Response to nutrient
Response to salt stress
Positive regulation of neuron projection development
Response to lipopolysaccharide
Myeloid cell apoptotic process
Negative regulation of myeloid cell apoptotic process
Response to vitamin a
Response to testosterone
Erythropoietin-mediated signaling pathway
Positive regulation of activated t cell proliferation
Hemoglobin biosynthetic process
Negative regulation of apoptotic process
Response to estrogen
Positive regulation of neuron differentiation
Positive regulation of ras protein signal transduction
Response to axon injury
Response to electrical stimulus
Response to hyperoxia
Positive regulation of erk1 and erk2 cascade
Response to interleukin-1
Response to dexamethasone
Signal transduction
Positive regulation of dna-templated transcription
Negative regulation of transcription by rna polymerase ii
Positive regulation of tyrosine phosphorylation of stat protein
Blood circulation
Negative regulation of calcium ion transport into cytosol
Cellular hyperosmotic response
Negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress
Negative regulation of erythrocyte apoptotic process
Negative regulation of cation channel activity","Extracellular region
Extracellular space
Cell body
Cell surface",ENSG00000130427,erythropoietin,protein_coding
ERAP1,"Zinc ion binding
Metallopeptidase activity
Metal ion binding
Protein binding
Aminopeptidase activity
Peptide binding
Interleukin-6 receptor binding
Endopeptidase activity
Metalloaminopeptidase activity
Metalloexopeptidase activity
Interleukin-1, type ii receptor binding
Peptidase activity","Proteolysis
Adaptive immune response
Regulation of blood pressure
Fat cell differentiation
Membrane protein ectodomain proteolysis
Regulation of innate immune response
Angiogenesis
Antigen processing and presentation of endogenous peptide antigen via mhc class i
Peptide catabolic process
Response to bacterium
Antigen processing and presentation of peptide antigen via mhc class i
Positive regulation of angiogenesis","Extracellular region
Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Cytoplasm
Cytosol
Extracellular space
Extracellular exosome
Endoplasmic reticulum lumen",ENSG00000164307,endoplasmic reticulum aminopeptidase 1,protein_coding
ERBB3,"Atp binding
Protein kinase activity
Protein tyrosine kinase activity
Protein binding
Identical protein binding
Protein heterodimerization activity
Transmembrane signaling receptor activity
Growth factor binding
Erbb-3 class receptor binding
Neuregulin binding
Protein tyrosine kinase activator activity
Ubiquitin protein ligase binding
Neuregulin receptor activity
Signaling receptor activity
Kinase activity
Transmembrane receptor protein tyrosine kinase activity","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Signal transduction
Negative regulation of apoptotic process
Positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Phosphatidylinositol 3-kinase/protein kinase b signal transduction
Positive regulation of cell population proliferation
Wound healing
Heart development
Regulation of cell population proliferation
Negative regulation of neuron apoptotic process
Neurogenesis
Peripheral nervous system development
Negative regulation of secretion
Extrinsic apoptotic signaling pathway in absence of ligand
Negative regulation of cell adhesion
Negative regulation of signal transduction
Schwann cell differentiation
Cranial nerve development
Neuron apoptotic process
Endocardial cushion development
Positive regulation of gene expression
Schwann cell development
Erbb2-erbb3 signaling pathway
Myelination
Positive regulation of cardiac muscle tissue development
Positive regulation of calcineurin-nfat signaling cascade
Motor neuron apoptotic process
Negative regulation of motor neuron apoptotic process","Membrane
Extracellular space
Extracellular region
Plasma membrane
Receptor complex
Basal plasma membrane
Basolateral plasma membrane
Erbb3:erbb2 complex
Apical plasma membrane
Lateral plasma membrane",ENSG00000065361,erb-b2 receptor tyrosine kinase 3,protein_coding
ERBB4,"Atp binding
Protein kinase activity
Protein tyrosine kinase activity
Protein binding
Transmembrane receptor protein tyrosine kinase activity
Transcription cis-regulatory region binding
Protein homodimerization activity
Epidermal growth factor receptor binding
Epidermal growth factor receptor activity
Neuregulin receptor activity
Gaba receptor binding","Protein phosphorylation
Cell surface receptor protein tyrosine kinase signaling pathway
Signal transduction
Positive regulation of protein phosphorylation
Negative regulation of apoptotic process
Apoptotic process
Nervous system development
Positive regulation of dna-templated transcription
Heart development
Positive regulation of cell population proliferation
Neural crest cell migration
Negative regulation of cell population proliferation
Lactation
Regulation of cell migration
Cell migration
Positive regulation of erk1 and erk2 cascade
Erbb signaling pathway
Regulation of cell communication
Regulation of signaling
Regulation of cell population proliferation
Protein autophosphorylation
Mammary gland epithelial cell differentiation
Erbb4-erbb4 signaling pathway
Neurogenesis
Positive regulation of tyrosine phosphorylation of stat protein
Positive regulation of receptor signaling pathway via jak-stat
Peptidyl-tyrosine phosphorylation
Embryonic pattern specification
Positive regulation of cardiac muscle cell proliferation
Erbb4 signaling pathway
Mammary gland alveolus development
Cell surface receptor signaling pathway
Epidermal growth factor receptor signaling pathway
Cell surface receptor signaling pathway via jak-stat
Synapse assembly
Central nervous system morphogenesis
Olfactory bulb interneuron differentiation
Erbb2-erbb4 signaling pathway
Mitochondrial fragmentation involved in apoptotic process
Cell fate commitment
Positive regulation of phosphatidylinositol 3-kinase/protein kinase b signal transduction
Cardiac muscle tissue regeneration
Cellular response to epidermal growth factor stimulus
Establishment of planar polarity involved in nephron morphogenesis
Neurotransmitter receptor localization to postsynaptic specialization membrane
Positive regulation of protein localization to cell surface","Membrane
Nucleus
Plasma membrane
Mitochondrion
Postsynaptic membrane
Extracellular region
Nucleoplasm
Receptor complex
Cytosol
Mitochondrial matrix
Basal plasma membrane
Basolateral plasma membrane
Neuromuscular junction
Presynaptic membrane
Postsynaptic density membrane
Glutamatergic synapse
Gaba-ergic synapse",ENSG00000178568,erb-b2 receptor tyrosine kinase 4,protein_coding
ERG,"Dna-binding transcription factor activity
Sequence-specific dna binding
Dna binding
Sequence-specific double-stranded dna binding
Protein binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Chromatin binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Positive regulation of transcription by rna polymerase ii
Protein phosphorylation
Signal transduction","Nucleus
Nucleoplasm
Cytosol
Cytoplasm
Ribonucleoprotein complex
Chromatin",ENSG00000157554,ETS transcription factor ERG,protein_coding
ERI3,"Nucleic acid binding
3'-5'-rna exonuclease activity
Exonuclease activity
Rna binding
Metal ion binding","Exonucleolytic trimming to generate mature 3'-end of 5.8s rrna from tricistronic rrna transcript (ssu-rrna, 5.8s rrna, lsu-rrna)",,ENSG00000117419,ERI1 exoribonuclease family member 3,protein_coding
ERICH2-DT,,,,ENSG00000234350,ERICH2 divergent transcript,lncRNA
ERLIN1,"Ubiquitin protein ligase binding
Protein binding
Lipid binding
Cholesterol binding","Cholesterol metabolic process
Erad pathway
Srebp signaling pathway
Regulation of cholesterol biosynthetic process
Negative regulation of cholesterol biosynthetic process
Negative regulation of fatty acid biosynthetic process","Endoplasmic reticulum
Membrane
Endoplasmic reticulum membrane
Protein-containing complex
Membrane raft",ENSG00000107566,ER lipid raft associated 1,protein_coding
ERO1B,"Fad binding
Protein-disulfide reductase activity
Thiol oxidase activity
Protein binding
Oxidoreductase activity
Unfolded protein binding","Protein folding in endoplasmic reticulum
Protein folding
Insulin processing","Endoplasmic reticulum
Membrane
Endoplasmic reticulum membrane
Endoplasmic reticulum lumen",ENSG00000086619,endoplasmic reticulum oxidoreductase 1 beta,protein_coding
ERVH-1,,,,ENSG00000251292,endogenous retrovirus group H member 1,lncRNA
ESR1,"Dna binding
Steroid binding
Nuclear estrogen receptor activity
Zinc ion binding
Nuclear steroid receptor activity
Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Metal ion binding
Nuclear receptor activity
Identical protein binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Protein kinase binding
Enzyme binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Estrogen response element binding
Chromatin binding
Sequence-specific double-stranded dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Transcription coregulator binding
Beta-catenin binding
Transcription corepressor binding
Transcription coactivator binding
Tfiib-class transcription factor binding
Calmodulin binding
Tbp-class protein binding
Nitric-oxide synthase regulator activity
Nuclear estrogen receptor binding
Atpase binding
14-3-3 protein binding
G protein-coupled estrogen receptor activity","Regulation of dna-templated transcription
Steroid hormone mediated signaling pathway
Regulation of transcription by rna polymerase ii
Positive regulation of dna-templated transcription
Positive regulation of transcription by rna polymerase ii
Negative regulation of gene expression
Chromatin remodeling
Rna polymerase ii preinitiation complex assembly
Intracellular estrogen receptor signaling pathway
Cellular response to estrogen stimulus
Negative regulation of canonical nf-kappab signal transduction
Signal transduction
Negative regulation of transcription by rna polymerase ii
Negative regulation of dna-binding transcription factor activity
Positive regulation of cytosolic calcium ion concentration
Positive regulation of dna-binding transcription factor activity
Negative regulation of mirna transcription
Phospholipase c-activating g protein-coupled receptor signaling pathway
Intracellular steroid hormone receptor signaling pathway
Response to estradiol
Response to estrogen
Cellular response to estradiol stimulus
Negative regulation of smooth muscle cell apoptotic process
Protein localization to chromatin
Antral ovarian follicle growth
Epithelial cell development
Transcription by rna polymerase ii
Androgen metabolic process
Male gonad development
Regulation of toll-like receptor signaling pathway
Fibroblast proliferation
Positive regulation of fibroblast proliferation
Stem cell differentiation
Regulation of inflammatory response
Uterus development
Vagina development
Prostate epithelial cord elongation
Prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis
Regulation of branching involved in prostate gland morphogenesis
Mammary gland branching involved in pregnancy
Mammary gland alveolus development
Epithelial cell proliferation involved in mammary gland duct elongation
Regulation of epithelial cell apoptotic process
G protein-coupled receptor signaling pathway","Nucleus
Cytoplasm
Plasma membrane
Membrane
Golgi apparatus
Nucleoplasm
Protein-containing complex
Chromatin
Cytosol
Transcription regulator complex
Euchromatin",ENSG00000091831,estrogen receptor 1,protein_coding
ESRP1,"Rna binding
Nucleic acid binding
Protein binding
Mrna binding","Mrna processing
Rna splicing
Regulation of rna splicing
Regulation of inner ear auditory receptor cell fate specification","Nucleus
Nucleoplasm
Nuclear body
Ribonucleoprotein complex",ENSG00000104413,epithelial splicing regulatory protein 1,protein_coding
ETF1,"Translation release factor activity
Rna binding
Protein binding
Ribosome binding
Aminoacyl-trna hydrolase activity
Sequence-specific mrna binding
Translation termination factor activity
Translation release factor activity, codon specific","Translational termination
Translation
Nuclear-transcribed mrna catabolic process, nonsense-mediated decay
Protein methylation
Regulation of translational termination
Cytoplasmic translational termination","Cytoplasm
Cytosolic ribosome
Cytosol
Translation release factor complex",ENSG00000120705,eukaryotic translation termination factor 1,protein_coding
ETS1,"Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Dna binding
Identical protein binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Sequence-specific double-stranded dna binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Rna polymerase ii-specific dna-binding transcription factor binding
Transcription corepressor binding
Nucleic acid binding
Transcription cis-regulatory region binding
Nuclear receptor coactivator activity","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Positive regulation of gene expression
Immune system process
Positive regulation of dna-templated transcription
Positive regulation of transcription by rna polymerase ii
Immune response
Positive regulation of inflammatory response
Positive regulation of angiogenesis
Negative regulation of cell population proliferation
Positive regulation of endothelial cell migration
Positive regulation of mirna transcription
Positive regulation of blood vessel endothelial cell migration
Regulation of angiogenesis
Positive regulation of erythrocyte differentiation
Positive regulation of leukocyte adhesion to vascular endothelial cell
Cell motility
Pml body organization
Transcription by rna polymerase ii
Negative regulation of cell cycle
Regulation of apoptotic process
Response to antibiotic","Nucleus
Cytoplasm
Nucleoplasm
Chromatin",ENSG00000134954,"ETS proto-oncogene 1, transcription factor",protein_coding
ETS1-AS1,,,,ENSG00000254588,ETS1 antisense RNA 1,lncRNA
ETS2,"Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Sequence-specific double-stranded dna binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription repressor activity, rna polymerase ii-specific
Protein domain specific binding
Rna polymerase ii-specific dna-binding transcription factor binding
Rna polymerase ii transcription regulatory region sequence-specific dna binding
Nuclear glucocorticoid receptor binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Negative regulation of transcription by rna polymerase ii
Positive regulation of transcription by rna polymerase ii
Skeletal system development
Ectodermal cell fate commitment
Mesoderm development
Primitive streak formation","Nucleus
Nucleoplasm
Cytosol
Plasma membrane
Chromatin",ENSG00000157557,"ETS proto-oncogene 2, transcription factor",protein_coding
ETV1,"Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Sequence-specific double-stranded dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Positive regulation of transcription by rna polymerase ii
Transcription by rna polymerase ii
Peripheral nervous system neuron development
Axon guidance
Muscle organ development
Mechanosensory behavior
Positive regulation of dna-templated transcription","Nucleus
Chromatin",ENSG00000006468,ETS variant transcription factor 1,protein_coding
ETV5,"Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Dna binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Transcription cis-regulatory region binding
Sequence-specific double-stranded dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Rna polymerase ii transcription regulatory region sequence-specific dna binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Negative regulation of transcription by rna polymerase ii
Positive regulation of transcription by rna polymerase ii
Cellular response to oxidative stress
Positive regulation of neuron differentiation
Male germ-line stem cell asymmetric division
Positive regulation of glial cell proliferation","Nucleus
Nucleoplasm
Chromatin",ENSG00000244405,ETS variant transcription factor 5,protein_coding
ETV6,"Dna-binding transcription factor activity
Sequence-specific dna binding
Protein binding
Dna-binding transcription factor activity, rna polymerase ii-specific
Dna binding
Sequence-specific double-stranded dna binding
Rna polymerase ii cis-regulatory region sequence-specific dna binding
Dna-binding transcription activator activity, rna polymerase ii-specific
Protein domain specific binding
Dna-binding transcription repressor activity, rna polymerase ii-specific
Rna polymerase ii transcription regulatory region sequence-specific dna binding","Regulation of dna-templated transcription
Regulation of transcription by rna polymerase ii
Cell differentiation
Vitellogenesis
Neurogenesis
Positive regulation of transcription by rna polymerase ii
Mesenchymal cell apoptotic process
Negative regulation of transcription by rna polymerase ii
Hematopoietic stem cell proliferation","Nucleus
Cytosol
Nucleolus
Plasma membrane
Chromatin
Membrane",ENSG00000139083,ETS variant transcription factor 6,protein_coding
EVA1B,Protein binding,,Membrane,ENSG00000142694,eva-1 homolog B,protein_coding
EVI2B,,"Negative regulation of apoptotic process
Regulation of cell cycle
Regulation of stem cell division
Positive regulation of granulocyte differentiation
Positive regulation of neutrophil differentiation
Myeloid cell development","Membrane
Plasma membrane",ENSG00000291721,ecotropic viral integration site 2B,protein_coding
EVI5,"Protein binding
Gtpase activator activity
Small gtpase binding","Cell division
Retrograde transport, endosome to golgi
Positive regulation of gtpase activity","Nucleus
Cytoplasm
Cytoskeleton
Cytosol
Centrosome
Spindle",ENSG00000067208,ecotropic viral integration site 5,protein_coding
EXOC3L2,,"Exocytosis
In utero embryonic development",Exocyst,ENSG00000283632,exocyst complex component 3 like 2,protein_coding
EXOC6,Protein binding,"Intracellular protein transport
Vesicle tethering involved in exocytosis
Protein transport
Exocytosis
Membrane fission
Mitotic cytokinesis
Golgi to plasma membrane transport
Vesicle docking involved in exocytosis","Cytoplasm
Cell projection
Perinuclear region of cytoplasm
Plasma membrane
Growth cone
Cytosol
Flemming body
Exocyst",ENSG00000138190,exocyst complex component 6,protein_coding
EXOC6B,Protein binding,"Intracellular protein transport
Vesicle tethering involved in exocytosis
Protein transport
Exocytosis
Membrane fission
Mitotic cytokinesis
Golgi to plasma membrane transport
Vesicle docking involved in exocytosis",Exocyst,ENSG00000144036,exocyst complex component 6B,protein_coding
EYA1,"Protein tyrosine phosphatase activity
Metal ion binding
Protein binding
Phosphoprotein phosphatase activity
Myosin phosphatase activity
Protein serine/threonine phosphatase activity
Histone h2axy142 phosphatase activity
Rna binding","Multicellular organism development
Chromatin organization
Dna repair
Double-strand break repair
Response to ionizing radiation
Positive regulation of dna repair
Chromatin remodeling
Protein sumoylation
Cell differentiation
Negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
Anatomical structure morphogenesis
Sensory perception of sound
Metanephros development
Ureteric bud development
Branching involved in ureteric bud morphogenesis
Outflow tract morphogenesis
Pattern specification process
Mesodermal cell fate specification
Animal organ morphogenesis
Striated muscle tissue development
Aorta morphogenesis
Inner ear morphogenesis
Outer ear morphogenesis
Middle ear morphogenesis
Cell fate commitment
Regulation of neuron differentiation
Positive regulation of dna-templated transcription
Positive regulation of transcription by rna polymerase ii
Neuron fate specification
Embryonic skeletal system morphogenesis
Semicircular canal morphogenesis
Epithelial cell proliferation
Positive regulation of epithelial cell proliferation
Pharyngeal system development
Otic vesicle development
Otic vesicle morphogenesis
Positive regulation of secondary heart field cardioblast proliferation
Cochlea morphogenesis
Extrinsic apoptotic signaling pathway in absence of ligand","Nucleus
Cytoplasm
Nucleoplasm
Nuclear body
Protein-containing complex
Protein-dna complex",ENSG00000104313,EYA transcriptional coactivator and phosphatase 1,protein_coding
